Node name,Node pack name,Github link,Commit hash,Is documented,Tags
AddNoise,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,LatentNoise;Noise
AlignYourStepsScheduler,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SigmaScheduling
BasicGuider,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelGuidance
BasicScheduler,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SigmaScheduling
CFGGuider,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelGuidance
CLIPLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Loader;ModelIO
CLIPMergeAdd,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelMerge
CLIPMergeSimple,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelMerge
CLIPMergeSubtract,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelMerge
CLIPSave,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;Loader;ModelIO;ModelLoader
CLIPSetLastLayer,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Conditioning
CLIPTextEncode,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;CLIPConditioning;CLIPTextEncoding;Conditioning
CLIPTextEncodeControlnet,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;CLIPConditioning;CLIPTextEncoding;Conditioning
CLIPTextEncodeSDXL,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;CLIPConditioning;CLIPTextEncoding;Conditioning
CLIPTextEncodeSDXLRefiner,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;CLIPConditioning;CLIPTextEncoding;Conditioning
CLIPVisionEncode,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Loader;ModelIO
CLIPVisionLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Loader;ModelIO
Canny,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,DepthMap;Image;ImageFilter;ImagePreprocessing
CheckpointLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;CheckpointLoader;Loader;ModelIO;ModelLoader
CheckpointLoaderSimple,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;CheckpointLoader;Loader;ModelIO;ModelLoader
CheckpointSave,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;Loader;ModelIO;ModelLoader
ConditioningAverage,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningCombine,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningConcat,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningSetArea,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningSetAreaPercentage,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningSetAreaStrength,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningSetMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningSetTimestepRange,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ConditioningZeroOut,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
ControlNetApply,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ControlNet
ControlNetApplyAdvanced,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ControlNet
ControlNetLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ControlNet;ControlNetLoader
CropMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Crop;Image;ImageTransformation
DiffControlNetLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ControlNet;ControlNetLoader
DifferentialDiffusion,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,LayeredDiffusion
DiffusersLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Loader;Model;ModelIO;ModelLoader
DisableNoise,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Noise
DualCFGGuider,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ModelGuidance
DualCLIPLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Loader;ModelIO
EmptyImage,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Image;ImageGeneration
EmptyLatentImage,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent
ExponentialScheduler,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SigmaScheduling
FeatherMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Mask
FlipSigmas,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SigmaScheduling
FreeU,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Sampling
FreeU_V2,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Sampling
GLIGENLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Loader;ModelIO;ModelLoader
GLIGENTextBoxApply,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,CLIP;Conditioning
GrowMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Mask;MaskMorphology
HyperTile,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Image;Tiled
HypernetworkLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Loader;ModelIO;ModelLoader
ImageBatch,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Batch;Image;ImageBatch
ImageBlend,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Image;ImageBlend;ImageComposite
ImageBlur,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Blur;VisualEffects
ImageColorToMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageMask;Mask;MaskGeneration
ImageCompositeMasked,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Image;ImageBlend;ImageComposite
ImageCrop,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Crop;Image;ImageTransformation
ImageFromBatch,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Batch;Image;ImageBatch
ImageInvert,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,MaskInversion
ImageOnlyCheckpointLoader,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;CheckpointLoader;Loader;ModelIO;ModelLoader
ImageOnlyCheckpointSave,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Checkpoint;Loader;ModelIO;ModelLoader
ImagePadForOutpaint,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Image;ImagePadding;ImageTransformation
ImageQuantize,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Color
ImageScale,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageScaling;ImageUpscaling;Upscale
ImageScaleBy,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageScaling;ImageUpscaling;Upscale
ImageScaleToTotalPixels,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageScaling;ImageUpscaling;Upscale
ImageSharpen,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageEnhancement;VisualEffects
ImageToMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageMask;ImageMaskConversion;Mask;MaskGeneration
ImageUpscaleWithModel,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,ImageScaling;ImageUpscaling;Upscale
InpaintModelConditioning,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
InstructPixToPixConditioning,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Conditioning
InvertMask,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,MaskInversion
JoinImageWithAlpha,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,AlphaChannel;Image
KSampler,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Sampling
KSamplerAdvanced,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Sampling
KSamplerSelect,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SamplerScheduler;Sampling
KarrasScheduler,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,SigmaScheduling
LatentAdd,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBlend
LatentBatch,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBatch
LatentBatchSeedBehavior,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Batch;Image
LatentBlend,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBlend
LatentComposite,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBlend
LatentCompositeMasked,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBlend
LatentCrop,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Crop;Image;ImageTransformation
LatentFlip,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Flip;Image;ImageTransformation
LatentFromBatch,Comfy,https://github.com/comfyanonymous/ComfyUI,b8218522f112be2e69fd49bbefbe68b57868baa0,True,Latent;LatentBatch
